cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
4028987,200,size_within_limit,288 sites > 150,1,288,,3038.9836,True,C18 H13 F3 O2,H104 C144 O16 F24,9,0.9492,True,0,False
4029046,200,size_within_limit,164 sites > 150,1,164,,1555.9799,True,C20 H17 N O3,H68 C80 N4 O12,8,0.8203,True,0,False
4029079,200,size_within_limit,228 sites > 150,1,228,,2127.6532,True,C21 H30 N2 O4,H120 C84 N8 O16,8,0.8195,True,0,False
4029102,200,,,1,144,144,1464.2444,True,C19 H14 N2 O,H56 C76 N8 O4,8,0.9492,True,0,True
4029279,200,,,1,124,124,1044.0988,True,C14 H14 O3,H56 C56 O12,8,0.9502,True,0,True
4029446,200,size_within_limit,176 sites > 150,1,176,,1681.622,True,C24 H18 O2,H72 C96 O8,8,0.9399,True,0,False
4029656,200,,,1,120,120,985.4172,True,C11 H16 O3,H64 C44 O12,8,0.9588,True,0,True
4029917,200,,,1,136,136,1210.6368,True,C14 H14 O6,H56 C56 O24,8,0.9502,True,0,True
4030070,200,size_within_limit,336 sites > 150,1,336,,3310.6012,True,C19 H19 N O2 S,H152 C152 S8 N8 O16,16,0.8479,True,0,False
4030225,200,,,1,76,76,666.5257,True,C14 H20 O4,H40 C28 O8,8,0.8618,True,0,True
4030244,200,ordered,partial or mixed site occupancy,1,18,,196.7212,False,,La2 N2 O10,57,,False,1,False
